system:time_start,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,QA60
"Jan 7, 2017","10,191","1,934","2,222","9,910","9,587","9,863","10,061","10,047","10,102","9,880","10,001","1,024"
"Jan 27, 2017","1,439",215,135,"1,324","1,491","1,959","2,034","1,892","2,082","1,801","1,790",0
"Feb 6, 2017","1,331",163,92,"1,209","1,362","1,712","1,710","1,398","1,541","1,258","1,195",0
"Feb 16, 2017","1,322",230,125,"1,260","1,448","1,792","1,666","1,380","1,522","1,191","1,166",0
"Mar 8, 2017","1,413",203,116,"1,290","1,453","1,858","1,823","1,704","1,952","1,584","1,643",0
"Mar 28, 2017","1,410",162,102,"1,304","1,433","1,883","1,837","1,686","1,911","1,618","1,641",0
"Apr 17, 2017","1,697",458,368,"1,514","1,615","2,042","2,027","1,858","2,052","1,816","1,733",0
"May 7, 2017","1,561",531,383,"1,294","1,051",972,950,961,"1,040",978,953,"2,048"
"May 27, 2017","9,297","4,513","4,026","9,214","8,634","9,152","8,925","9,140","9,442","8,970","9,549","1,024"
"Jun 16, 2017","1,845","1,097",794,"1,572","1,368","1,281","1,335","1,515","1,630","1,558","1,667","2,048"
"Jul 1, 2017","1,867",701,611,"1,588","1,193","1,127","1,119","1,174","1,219","1,093","1,221","2,048"
"Jul 6, 2017","5,822","4,424","3,758","5,942","5,578","5,886","6,047","6,144","6,293","6,181","6,311","1,024"
"Jul 21, 2017","1,300",156,91,"1,021",800,802,785,570,579,503,446,0
"Jul 26, 2017","1,330",218,128,"1,045",857,871,833,634,670,541,532,0
"Aug 10, 2017","1,578",258,119,"1,278","1,067","1,001",939,813,883,689,688,0
"Aug 15, 2017","1,161",133,112,919,819,860,794,508,519,404,353,0
"Aug 30, 2017","7,130","6,436","5,079","7,322","6,949","7,370","7,277","7,416","7,731","7,437","7,828","1,024"
"Sep 4, 2017","5,376","3,126","2,733","5,017","4,557","4,621","4,346","4,646","5,172","4,715","5,575","1,024"
"Sep 19, 2017","1,223",190,116,974,903,838,784,558,634,482,482,0
"Sep 24, 2017","4,253","4,499","3,883","3,897","3,721","3,934","4,004","4,623","5,030","4,450","5,307","1,024"
"Oct 14, 2017","1,430",613,459,986,832,683,719,946,"1,174",671,"1,272","1,024"
"Oct 29, 2017","5,350","3,896","3,335","5,010","4,707","4,954","4,929","5,351","5,661","5,283","5,847","1,024"
"Nov 3, 2017","10,269","5,870","3,998","9,062","9,736","10,132","10,235","10,500","10,974","9,613","10,933","1,024"
"Nov 18, 2017","1,421",779,561,"1,284","1,238","1,313","1,284","1,203","1,271","1,120","1,197",0
"Nov 28, 2017","1,365",488,371,"1,143","1,143","1,172","1,085",841,882,734,772,0
"Dec 8, 2017","1,203",236,140,984,963,984,920,616,670,495,505,0
"Dec 13, 2017","1,406",637,491,"1,262","1,237","1,336","1,298","1,049","1,123",861,980,0
"Dec 18, 2017","1,316",301,194,"1,098","1,161","1,365","1,319",909,"1,015",793,796,0
"Dec 28, 2017","6,399","3,393","3,153","5,826","5,905","6,261","6,320","6,437","6,569","6,188","6,646","1,024"
"Jan 2, 2018","2,357","2,474","1,871","1,902","2,053","2,325","2,442","3,117","3,656","2,886","3,825",0
"Jan 7, 2018","1,487",427,318,"1,334","1,463","1,852","1,925","1,714","1,837","1,531","1,532",0
"Jan 17, 2018","2,680","2,316","1,600","1,929","2,163","2,414","2,483","2,932","3,481","2,805","3,776",0
"Jan 22, 2018","7,249","4,727","3,163","6,935","6,578","6,669","6,279","6,597","7,024","6,377","7,135","1,024"
"Jan 27, 2018","1,174",92,54,942,840,931,882,635,724,536,518,0
"Feb 6, 2018","1,166",133,78,"1,044","1,105","1,367","1,165",887,"1,010",887,719,0
"Feb 11, 2018","1,578",568,350,"1,453","1,462","1,694","1,583","1,425","1,617","1,552","1,325",0
"Feb 16, 2018","1,273",179,112,"1,177","1,311","1,632","1,539","1,268","1,455","1,182","1,101",0
"Feb 21, 2018","1,663",665,503,"1,513","1,553","1,751","1,802","1,834","2,065","1,826","1,902","2,048"
"Feb 26, 2018","1,438",234,146,"1,328","1,459","1,869","1,822","1,577","1,785","1,475","1,441",0
"Mar 3, 2018","1,460",235,147,"1,342","1,465","1,873","1,815","1,658","1,870","1,496","1,527",0
"Mar 8, 2018","1,355",211,125,"1,197","1,348","1,749","1,744","1,496","1,656","1,389","1,335",0
"Mar 13, 2018","7,241","5,746","3,418","7,419","7,216","8,001","8,082","8,262","8,350","8,018","8,250","1,024"
"Mar 18, 2018","1,304",166,94,"1,192","1,370","1,800","1,710","1,520","1,752","1,430","1,457",0
"Mar 23, 2018","4,280","3,932","3,432","3,960","3,693","3,952","3,975","4,357","4,822","4,372","5,052","1,024"
"Mar 28, 2018","1,312",143,72,"1,220","1,339","1,760","1,694","1,486","1,661","1,344","1,309",0
"Apr 2, 2018","4,143","1,839","1,828","4,036","3,814","3,854","3,986","4,399","4,624","4,528","4,707","1,024"
"Apr 7, 2018","1,391",144,77,"1,287","1,450","1,816","1,767","1,529","1,704","1,386","1,389",0
