fecha	banda	reflec
2017-01-27	B01	0.1439
2017-01-27	B11	0.0215
2017-01-27	B12	0.0135
2017-01-27	B02	0.1324
2017-01-27	B03	0.1491
2017-01-27	B04	0.1959
2017-01-27	B05	0.2034
2017-01-27	B06	0.1892
2017-01-27	B07	0.2082
2017-01-27	B08	0.1801
2017-01-27	B8A	0.179
2017-02-06	B01	0.1331
2017-02-06	B11	0.0163
2017-02-06	B12	0.0092
2017-02-06	B02	0.1209
2017-02-06	B03	0.1362
2017-02-06	B04	0.1712
2017-02-06	B05	0.171
2017-02-06	B06	0.1398
2017-02-06	B07	0.1541
2017-02-06	B08	0.1258
2017-02-06	B8A	0.1195
2017-02-16	B01	0.1322
2017-02-16	B11	0.023
2017-02-16	B12	0.0125
2017-02-16	B02	0.126
2017-02-16	B03	0.1448
2017-02-16	B04	0.1792
2017-02-16	B05	0.1666
2017-02-16	B06	0.138
2017-02-16	B07	0.1522
2017-02-16	B08	0.1191
2017-02-16	B8A	0.1166
2017-03-08	B01	0.1413
2017-03-08	B11	0.0203
2017-03-08	B12	0.0116
2017-03-08	B02	0.129
2017-03-08	B03	0.1453
2017-03-08	B04	0.1858
2017-03-08	B05	0.1823
2017-03-08	B06	0.1704
2017-03-08	B07	0.1952
2017-03-08	B08	0.1584
2017-03-08	B8A	0.1643
2017-03-28	B01	0.141
2017-03-28	B11	0.0162
2017-03-28	B12	0.0102
2017-03-28	B02	0.1304
2017-03-28	B03	0.1433
2017-03-28	B04	0.1883
2017-03-28	B05	0.1837
2017-03-28	B06	0.1686
2017-03-28	B07	0.1911
2017-03-28	B08	0.1618
2017-03-28	B8A	0.1641
2017-04-17	B01	0.1697
2017-04-17	B11	0.0458
2017-04-17	B12	0.0368
2017-04-17	B02	0.1514
2017-04-17	B03	0.1615
2017-04-17	B04	0.2042
2017-04-17	B05	0.2027
2017-04-17	B06	0.1858
2017-04-17	B07	0.2052
2017-04-17	B08	0.1816
2017-04-17	B8A	0.1733
2017-07-21	B01	0.13
2017-07-21	B11	0.0156
2017-07-21	B12	0.0091
2017-07-21	B02	0.1021
2017-07-21	B03	0.08
2017-07-21	B04	0.0802
2017-07-21	B05	0.0785
2017-07-21	B06	0.057
2017-07-21	B07	0.0579
2017-07-21	B08	0.0503
2017-07-21	B8A	0.0446
2017-07-26	B01	0.133
2017-07-26	B11	0.0218
2017-07-26	B12	0.0128
2017-07-26	B02	0.1045
2017-07-26	B03	0.0857
2017-07-26	B04	0.0871
2017-07-26	B05	0.0833
2017-07-26	B06	0.0634
2017-07-26	B07	0.067
2017-07-26	B08	0.0541
2017-07-26	B8A	0.0532
2017-08-10	B01	0.1578
2017-08-10	B11	0.0258
2017-08-10	B12	0.0119
2017-08-10	B02	0.1278
2017-08-10	B03	0.1067
2017-08-10	B04	0.1001
2017-08-10	B05	0.0939
2017-08-10	B06	0.0813
2017-08-10	B07	0.0883
2017-08-10	B08	0.0689
2017-08-10	B8A	0.0688
2017-08-15	B01	0.1161
2017-08-15	B11	0.0133
2017-08-15	B12	0.0112
2017-08-15	B02	0.0919
2017-08-15	B03	0.0819
2017-08-15	B04	0.086
2017-08-15	B05	0.0794
2017-08-15	B06	0.0508
2017-08-15	B07	0.0519
2017-08-15	B08	0.0404
2017-08-15	B8A	0.0353
2017-09-19	B01	0.1223
2017-09-19	B11	0.019
2017-09-19	B12	0.0116
2017-09-19	B02	0.0974
2017-09-19	B03	0.0903
2017-09-19	B04	0.0838
2017-09-19	B05	0.0784
2017-09-19	B06	0.0558
2017-09-19	B07	0.0634
2017-09-19	B08	0.0482
2017-09-19	B8A	0.0482
2017-11-18	B01	0.1421
2017-11-18	B11	0.0779
2017-11-18	B12	0.0561
2017-11-18	B02	0.1284
2017-11-18	B03	0.1238
2017-11-18	B04	0.1313
2017-11-18	B05	0.1284
2017-11-18	B06	0.1203
2017-11-18	B07	0.1271
2017-11-18	B08	0.112
2017-11-18	B8A	0.1197
2017-11-28	B01	0.1365
2017-11-28	B11	0.0488
2017-11-28	B12	0.0371
2017-11-28	B02	0.1143
2017-11-28	B03	0.1143
2017-11-28	B04	0.1172
2017-11-28	B05	0.1085
2017-11-28	B06	0.0841
2017-11-28	B07	0.0882
2017-11-28	B08	0.0734
2017-11-28	B8A	0.0772
2017-12-08	B01	0.1203
2017-12-08	B11	0.0236
2017-12-08	B12	0.014
2017-12-08	B02	0.0984
2017-12-08	B03	0.0963
2017-12-08	B04	0.0984
2017-12-08	B05	0.092
2017-12-08	B06	0.0616
2017-12-08	B07	0.067
2017-12-08	B08	0.0495
2017-12-08	B8A	0.0505
2017-12-13	B01	0.1406
2017-12-13	B11	0.0637
2017-12-13	B12	0.0491
2017-12-13	B02	0.1262
2017-12-13	B03	0.1237
